"PVWatts Hourly PV Performance Data"
"Requested Location","los angeles, CA"
"Location","Lat, Lng: 34.05, -118.26"
"Latitude (DD)","34.05"
"Longitude (DD)","-118.26"
"Elevation (m)","97.559997558594"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (kW/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","2","16","249","24","16","3.2","0.12","94.394","17.485","448.623","393.091"
"1","2","17","0","0","14","3","0.12","0","14","0","0"
"1","2","18","0","0","14","3.1","0.12","0","14","0","0"
"1","2","19","0","0","13","3.3","0.12","0","13","0","0"
"1","2","20","0","0","13","3.4","0.12","0","13","0","0"
"1","2","21","0","0","13","3.5","0.12","0","13","0","0"
"1","2","22","0","0","13","3.5","0.12","0","13","0","0"
"1","2","23","0","0","13","3.4","0.12","0","13","0","0"
"1","3","0","0","0","12","3.4","0.12","0","12","0","0"
"1","3","1","0","0","12","3.3","0.12","0","12","0","0"
"1","3","2","0","0","12","3.2","0.12","0","12","0","0"
"1","3","3","0","0","12","3.3","0.12","0","12","0","0"
"1","3","4","0","0","12","3.5","0.12","0","12","0","0"
"1","3","5","0","0","11","3.8","0.12","0","11","0","0"
"1","3","6","0","0","11","4.3","0.12","0","11","0","0"
"1","3","7","452","26","13","4.9","0.12","134.672","14.898","880.477","809.643"
"1","3","8","771","50","16","5.1","0.12","421.067","22.319","3659.356","3490.055"
"1","3","9","894","62","19","4.9","0.12","634.088","28.798","5480.042","5246.226"
"1","3","10","949","69","22","4.4","0.12","784.579","34.928","6579.235","6306.471"
"1","3","11","971","72","23","3.6","0.12","860.31","38.895","7072.251","6782.018"
"1","3","12","968","72","24","3","0.12","855.465","41.402","6963.739","6677.35"
"1","3","13","944","68","24","2.4","0.12","772.684","41.501","6315.902","6052.469"
"1","3","14","882","61","23","1.5","0.12","614.994","39.78","5092.189","4872.117"
"1","3","15","747","49","21","0.8","0.12","397.156","33.79","3275.343","3119.649"
"1","3","16","391","23","17","0.8","0.12","126.379","20.304","614.403","552.996"
"1","3","17","0","0","15","1.3","0.12","0","15","0","0"
"1","3","18","0","0","14","1.7","0.12","0","14","0","0"
"1","3","19","0","0","13","2","0.12","0","13","0","0"
"1","3","20","0","0","13","2.4","0.12","0","13","0","0"
"1","3","21","0","0","13","2.5","0.12","0","13","0","0"
"1","3","22","0","0","12","2.5","0.12","0","12","0","0"
"1","3","23","0","0","12","2.4","0.12","0","12","0","0"
"1","4","0","0","0","11","2.2","0.12","0","11","0","0"
"1","4","1","0","0","11","2.2","0.12","0","11","0","0"
"1","4","2","0","0","11","2.3","0.12","0","11","0","0"
"1","4","3","0","0","11","2.4","0.12","0","11","0","0"
"1","4","4","0","0","11","2.4","0.12","0","11","0","0"
"1","4","5","0","0","11","2.4","0.12","0","11","0","0"
"1","4","6","0","0","11","2.3","0.12","0","11","0","0"
"1","4","7","436","25","14","2.7","0.12","130.049","16.545","840.968","771.534"
"1","4","8","751","51","18","2.9","0.12","412.477","26.522","3525.24","3360.691"
"1","4","9","872","63","21","2.3","0.12","621.412","35.364","5233.905","5008.812"
"1","4","10","932","70","23","1.9","0.12","773.52","42.327","6297.931","6035.135"
"1","4","11","955","73","24","1.7","0.12","849.541","46.12","6782.541","6502.573"
"1","4","12","954","73","25","1.4","0.12","846.763","48.572","6693.135","6416.335"
"1","4","13","921","72","25","1.2","0.12","762.15","47.263","6082.91","5827.733"
"1","4","14","856","65","24","1.1","0.12","609.372","42.269","4991.986","4775.464"
"1","4","15","718","52","21","0.9","0.12","389.109","33.207","3218.28","3064.608"
"1","4","16","365","24","19","0.7","0.12","124.914","22.488","648.337","585.729"
"1","4","17","0","0","17","0.7","0.12","0","17","0","0"
"1","4","18","0","0","16","0.9","0.12","0","16","0","0"
"1","4","19","0","0","16","1.1","0.12","0","16","0","0"
"1","4","20","0","0","15","1.3","0.12","0","15","0","0"
"1","4","21","0","0","15","1.4","0.12","0","15","0","0"
"1","4","22","0","0","15","1.3","0.12","0","15","0","0"
"1","4","23","0","0","15","1.3","0.12","0","15","0","0"
"1","5","0","0","0","15","1.3","0.12","0","15","0","0"
"1","5","1","0","0","15","1.2","0.12","0","15","0","0"
"1","5","2","0","0","15","1.2","0.12","0","15","0","0"
"1","5","3","0","0","15","1.2","0.12","0","15","0","0"
"1","5","4","0","0","14","1.2","0.12","0","14","0","0"
"1","5","5","0","0","14","1.3","0.12","0","14","0","0"
"1","5","6","0","0","14","1.3","0.12","0","14","0","0"
"1","5","7","0","21","15","1.3","0.12","19.425","15.525","129.497","85.273"
"1","5","8","401","80","16","1.3","0.12","283.141","24.053","2418.118","2292.799"
"1","5","9","316","155","17","1.5","0.12","372.091","27.126","3184.881","3032.392"
"1","5","10","0","31","18","1.6","0.12","28.688","18.759","225.794","178.157"
"1","5","11","147","253","18","1.4","0.12","392.121","28.869","3282.234","3126.296"
"1","5","12","0","128","18","1.2","0.12","120.809","21.503","995.93","921.005"
"1","5","13","30","195","18","1.1","0.12","222.457","24.622","1862.795","1757.153"
"1","5","14","20","148","18","1","0.12","157.137","22.804","1318.194","1231.849"
"1","5","15","240","92","17","0.9","0.12","214.035","23.714","1808.151","1704.445"
"1","5","16","0","20","16","0.8","0.12","18.503","16.543","108.337","64.863"
"1","5","17","0","0","15","0.9","0.12","0","15","0","0"
"1","5","18","0","0","14","0.9","0.12","0","14","0","0"
"1","5","19","0","0","14","0.9","0.12","0","14","0","0"
"1","5","20","0","0","14","0.8","0.12","0","14","0","0"
"1","5","21","0","0","13","0.8","0.12","0","13","0","0"
"1","5","22","0","0","13","0.8","0.12","0","13","0","0"
"1","5","23","0","0","13","0.8","0.12","0","13","0","0"
"1","6","0","0","0","12","0.9","0.12","0","12","0","0"
"1","6","1","0","0","12","0.8","0.12","0","12","0","0"
"1","6","2","0","0","12","0.8","0.12","0","12","0","0"
"1","6","3","0","0","12","0.8","0.12","0","12","0","0"
"1","6","4","0","0","12","0.9","0.12","0","12","0","0"
"1","6","5","0","0","12","0.9","0.12","0","12","0","0"
"1","6","6","0","0","12","0.9","0.12","0","12","0","0"
"1","6","7","290","27","13","1.1","0.12","103.342","15.839","674.527","610.99"
"1","6","8","619","61","16","1","0.12","364.435","27.156","3096.859","2947.489"
"1","6","9","763","77","18","0.9","0.12","573.312","36.077","4806.558","4596.607"
"1","6","10","851","81","19","1.4","0.12","732.484","39.404","6029.865","5776.568"
"1","6","11","877","85","20","1.9","0.12","808.885","40.186","6611.647","6337.735"
"1","6","12","876","85","21","2.2","0.12","807.049","39.965","6602.996","6329.39"
"1","6","13","860","78","20","2.3","0.12","732.668","36.906","6093.629","5838.072"
"1","6","14","792","70","19","2.3","0.12","579.146","32.385","4930.31","4715.974"
"1","6","15","653","56","17","1.8","0.12","369.608","26.399","3142.929","2991.927"
"1","6","16","346","24","14","1.2","0.12","122.94","17.166","725.019","659.693"
"1","6","17","0","0","12","1.2","0.12","0","12","0","0"
"1","6","18","0","0","12","1","0.12","0","12","0","0"
"1","6","19","0","0","12","0.7","0.12","0","12","0","0"
"1","6","20","0","0","12","0.6","0.12","0","12","0","0"
"1","6","21","0","0","11","0.8","0.12","0","11","0","0"
"1","6","22","0","0","11","1.1","0.12","0","11","0","0"
"1","6","23","0","0","11","1.2","0.12","0","11","0","0"
"1","7","0","0","0","11","1.4","0.12","0","11","0","0"
"1","7","1","0","0","11","1.4","0.12","0","11","0","0"
"1","7","2","0","0","11","1.4","0.12","0","11","0","0"
"1","7","3","0","0","10","1.4","0.12","0","10","0","0"
"1","7","4","0","0","10","1.4","0.12","0","10","0","0"
"1","7","5","0","0","10","1.4","0.12","0","10","0","0"
"1","7","6","0","0","10","1.3","0.12","0","10","0","0"
"1","7","7","17","28","12","1.4","0.12","32.654","12.858","221.906","174.407"
"1","7","8","156","101","14","1.4","0.12","181.931","19.052","1560.101","1465.185"
"1","7","9","0","7","16","1.2","0.12","6.467","16.188","48.261","6.915"
"1","7","10","173","225","18","1.2","0.12","371.925","28.821","3125.223","2974.848"
"1","7","11","590","164","19","1.6","0.12","667.609","36.741","5511.315","5276.391"
"1","7","12","843","100","19","2","0.12","799.099","38.535","6571.006","6298.534"
"1","7","13","481","174","19","2.2","0.12","560.706","32.168","4717.299","4510.51"
"1","7","14","110","170","18","2","0.12","252.607","24.168","2151.146","2035.287"
"1","7","15","629","61","16","1.6","0.12","365.834","25.715","3121.154","2970.923"
"1","7","16","193","28","14","1.3","0.12","89.327","16.306","557.154","497.776"
"1","7","17","0","0","13","1.3","0.12","0","13","0","0"
"1","7","18","0","0","12","1.2","0.12","0","12","0","0"
"1","7","19","0","0","12","1","0.12","0","12","0","0"
"1","7","20","0","0","11","0.8","0.12","0","11","0","0"
"1","7","21","0","0","11","0.6","0.12","0","11","0","0"
"1","7","22","0","0","11","0.6","0.12","0","11","0","0"
"1","7","23","0","0","10","0.7","0.12","0","10","0","0"
"1","8","0","0","0","10","0.8","0.12","0","10","0","0"
"1","8","1","0","0","10","1","0.12","0","10","0","0"
"1","8","2","0","0","10","1.2","0.12","0","10","0","0"
"1","8","3","0","0","10","1.4","0.12","0","10","0","0"
"1","8","4","0","0","10","1.4","0.12","0","10","0","0"
"1","8","5","0","0","10","1.5","0.12","0","10","0","0"
"1","8","6","0","0","10","1.7","0.12","0","10","0","0"
